0
Natural Chip        Compny SeaSalt
CCs Nacho Cheese    
Smiths Crinkle Cut  Chips Chicken 
Smiths Chip Thinly  S/Cream&Onion 
Kettle Tortilla ChpsHny&Jlpno Chili 
Old El Paso Salsa   Dip Tomato Mild 
Smiths Crinkle Chips Salt & Vinegar 
Grain Waves         Sweet Chilli 
Doritos Corn Chip Mexican Jalapeno 
Grain Waves Sour    Cream&Chives 
Kettle Sensations   Siracha Lime 
Twisties Cheese     
WW Crinkle Cut      Chicken 
Thins Chips Light&  Tangy 
CCs Original 
Burger Rings 
NCC Sour Cream &    Garden Chives 
Doritos Corn Chip Southern Chicken 
Cheezels Cheese Box 
Smiths Crinkle      Original 
Infzns Crn Crnchers Tangy Gcamole 
Kettle Sea Salt     And Vinegar 
Smiths Chip Thinly  Cut Original 
Kettle Original 
Red Rock Deli Thai  Chilli&Lime 
Pringles Sthrn FriedChicken 
Pringles Sweet&Spcy BBQ 
Red Rock Deli SR    Salsa & Mzzrlla 
Thins Chips         Originl saltd 
Red Rock Deli Sp    Salt & Truffle 
Smiths Thinly       Swt Chli&S/Cream
Kettle Chilli 
Doritos Mexicana    
Smiths Crinkle Cut  French OnionDip 
Natural ChipCo      Hony Soy Chckn
Dorito Corn Chp     Supreme 
Twisties Chicken
Smiths Thinly Cut   Roast Chicken 
Smiths Crinkle Cut  Tomato Salsa 
Kettle Mozzarella   Basil & Pesto 
Infuzions Thai SweetChili PotatoMix 
Kettle Sensations   Camembert & Fig 
Smith Crinkle Cut   Mac N Cheese 
Kettle Honey Soy    Chicken 
Thins Chips Seasonedchicken 
Smiths Crinkle Cut  Salt & Vinegar 
Infuzions BBQ Rib   Prawn Crackers 
GrnWves Plus Btroot & Chilli Jam 
Tyrrells Crisps     Lightly Salted 
Kettle Sweet Chilli And Sour Cream 
Doritos Salsa       Medium 
Kettle 
Pringles SourCream  Onion 
Doritos Corn Chips  Original 
Twisties Cheese     Burger 
Old El Paso Salsa   Dip Chnky Tom Ht
Cobs Popd Swt/Chlli &Sr/Cream Chips 
Woolworths Mild     Salsa 
Natural Chip Co     Tmato Hrb&Spce 
Smiths Crinkle Cut  Chips Original 
Cobs Popd Sea Salt  Chips 
Smiths Crinkle Cut  Chips Chs&Onion
French Fries Potato Chips 
Old El Paso Salsa   Dip Tomato Med 
Doritos Corn Chips  Cheese Supreme 
Pringles Original   Crisps 
RRD Chilli&         Coconut 
WW Original Corn    Chips 
Thins Potato Chips  Hot & Spicy 
Cobs Popd Sour Crm  &Chives Chips 
Smiths Crnkle Chip  Orgnl Big Bag 
Doritos Corn Chips  Nacho Cheese 
Kettle Sensations   BBQ&Maple 
WW D/Style Chip     Sea Salt 
Pringles Chicken    Salt Crips 
WW Original Stacked Chips 
Smiths Chip Thinly  CutSalt/Vinegr
Cheezels Cheese 
Tostitos Lightly    Salted 
Thins Chips Salt &  Vinegar 
Smiths Crinkle Cut  Chips Barbecue 
Cheetos Puffs 
RRD Sweet Chilli &  Sour Cream 
WW Crinkle Cut      Original 
Tostitos Splash Of  Lime 
Woolworths Medium   Salsa 
Kettle Tortilla ChpsBtroot&Ricotta 
CCs Tasty Cheese    
Woolworths Cheese   Rings 
Tostitos Smoked     Chipotle 
Pringles Barbeque   
WW Supreme Cheese   Corn Chips 
Pringles Mystery    Flavour 
Tyrrells Crisps     Ched & Chives 
Snbts Whlgrn Crisps Cheddr&Mstrd 
Cheetos Chs & Bacon Balls 
Pringles Slt Vingar 
Infuzions SourCream&Herbs Veg Strws 
Kettle Tortilla ChpsFeta&Garlic 
Infuzions Mango     Chutny Papadums 
RRD Steak &         Chimuchurri 
RRD Honey Soy       Chicken 
Sunbites Whlegrn    Crisps Frch/Onin 
RRD Salt & Vinegar  
Doritos Cheese      Supreme 
Smiths Crinkle Cut  Snag&Sauce 
WW Sour Cream &OnionStacked Chips 
RRD Lime & Pepper   
Natural ChipCo Sea  Salt & Vinegr 
Red Rock Deli Chikn&Garlic Aioli 
RRD SR Slow Rst     Pork Belly 
RRD Pc Sea Salt     
Smith Crinkle Cut   Bolognese 
Doritos Salsa Mild  
